drug_id,name,generic_name,category,approved,side_effects,common_dosages
1,Aspirin,Acetylsalicylic acid,Analgesic / Antipyretic,TRUE,"Stomach upset, bruising, allergic reactions","100mg,325mg,500mg,650mg"
2,Metformin,Metformin Hydrochloride,Antidiabetic,TRUE,"Lactic acidosis, GI distress, vitamin B12 deficiency","500mg,850mg,1000mg"
3,Lisinopril,Lisinopril,ACE Inhibitor,TRUE,"Dry cough, dizziness, hyperkalemia, angioedema","5mg,10mg,20mg,40mg"
4,Atorvastatin,Atorvastatin Calcium,Statin,TRUE,"Muscle pain, liver damage, diabetes risk","10mg,20mg,40mg,80mg"
5,Ibuprofen,Ibuprofen,NSAID,TRUE,"Stomach upset, kidney problems, GI bleeding","200mg,400mg,600mg,800mg"
6,Amoxicillin,Amoxicillin,Antibiotic,TRUE,"Rash, allergic reaction, diarrhea, nausea","250mg,500mg,875mg"
7,Omeprazole,Omeprazole,Proton Pump Inhibitor,TRUE,"Headache, diarrhea, constipation, hypomagnesemia","10mg,20mg,40mg"
8,Levothyroxine,Levothyroxine Sodium,Thyroid Hormone,TRUE,"Palpitations, anxiety, insomnia, tremor","25mcg,50mcg,75mcg,100mcg,125mcg,150mcg"
9,Amlodipine,Amlodipine Besylate,Calcium Channel Blocker,TRUE,"Edema, palpitations, flushing, headache","2.5mg,5mg,10mg"
10,Sertraline,Sertraline Hydrochloride,Antidepressant,TRUE,"Sexual dysfunction, nausea, insomnia, headache","25mg,50mg,100mg,200mg"
11,Simvastatin,Simvastatin,Statin,TRUE,"Muscle pain, liver damage, diabetes risk","5mg,10mg,20mg,40mg,80mg"
12,Losartan,Losartan Potassium,ARB,TRUE,"Dizziness, fatigue, hyperkalemia, angioedema","25mg,50mg,100mg"
13,Metoprolol,Metoprolol Tartrate,Beta Blocker,TRUE,"Fatigue, dizziness, depression, bradycardia","25mg,50mg,100mg,200mg"
14,Fluoxetine,Fluoxetine Hydrochloride,Antidepressant,TRUE,"Sexual dysfunction, nausea, insomnia, anxiety","10mg,20mg,40mg,60mg"
15,Clopidogrel,Clopidogrel Bisulfate,Antiplatelet,TRUE,"Bleeding, bruising, GI distress, rash","75mg"
16,Esomeprazole,Esomeprazole Magnesium,Proton Pump Inhibitor,TRUE,"Headache, diarrhea, nausea, hypomagnesemia","20mg,40mg"
17,Albuterol,Albuterol Sulfate,Bronchodilator,TRUE,"Tremor, tachycardia, nervousness, headache","90mcg,100mcg"
18,Dextroamphetamine,Dextroamphetamine Sulfate,Stimulant,TRUE,"Insomnia, anxiety, appetite loss, addiction risk","5mg,10mg,15mg,20mg,30mg"
19,Ciprofloxacin,Ciprofloxacin Hydrochloride,Antibiotic,TRUE,"Tendon rupture, QT prolongation, photosensitivity","250mg,500mg,750mg"
20,Gabapentin,Gabapentin,Anticonvulsant,TRUE,"Dizziness, drowsiness, ataxia, weight gain","300mg,400mg,600mg,800mg"
